Timestamp,Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Size,Connection_Duration,Packets_Per_Second,Error_Rate,Login_Attempts,Bytes_Sent,Bytes_Received,Traffic_Flag,MAC_Address,Label
03-01-2026 05:19,238.120.116.74,59.69.201.92,50465,22,ICMP,820,45,592,0.057746599,21,20342,20070,Probe,bd:cb:54:05:43:69,1
05-01-2026 16:26,30.137.2.193,231.197.235.36,33249,22,UDP,,563,,0.298818227,2,,,Normal,9f:57:dd:34:b6:26,0
06-01-2026 10:48,250.241.230.115,101.42.74.42,54520,22,UDP,1054,552,3811,0.099579251,18,5791,40581,Normal,ff:a0:ba:66:30:e9,0
02-01-2026 10:58,234.141.203.180,13.243.184.69,58163,8080,UDP,1619,55,1135,0.932818762,3,57997,50509,Normal,e9:e1:5a:ca:8e:cf,1
02-01-2026 21:46,133.221.239.84,236.118.57.154,63971,21,TCP,1298,405,2032,0.8803683,2,42250,25271,Normal,80:c7:53:91:a2:35,0
05-01-2026 01:05,176.190.42.162,151.217.243.197,35683,80,ICMP,1346,154,2086,0.581579129,20,22396,54225,Probe,3a:7c:6b:58:78:55,1
04-01-2026 07:57,,43.86.225.247,2397,21,TCP,1571,761,4691,0.832191411,6,54971,64699,Normal,,1
03-01-2026 17:37,94.86.186.197,228.199.199.240,37673,21,ICMP,131,257,3912,0.150951483,19,34261,53235,Normal,fe:f0:e6:47:b9:47,1
03-01-2026 15:30,,162.58.237.254,28188,443,ICMP,1048,425,4114,0.15790796,5,38816,65296,Normal,,0
03-01-2026 20:26,240.44.129.63,240.56.249.223,61592,53,TCP,1973,185,345,0.709943837,2,7172,36036,Normal,4b:8a:11:03:54:8f,0
01-01-2026 09:27,107.205.18.155,204.159.2.35,51701,22,UDP,1874,596,2410,0.141398487,3,17779,22589,Normal,14:cb:46:25:34:9b,0
04-01-2026 23:05,83.165.199.216,145.211.182.248,54777,80,ICMP,480,466,1940,0.986169538,2,14859,53245,DoS,64:62:af:79:ce:69,1
04-01-2026 13:07,103.143.55.134,79.171.122.183,56990,21,UDP,813,284,1146,0.720889524,7,59594,6107,DoS,e4:a9:7c:19:df:ea,1
02-01-2026 23:17,44.9.50.0,171.118.230.102,19382,53,ICMP,542,730,4695,0.062531275,14,21924,4806,Normal,42:b1:af:8a:5a:5d,0
06-01-2026 02:55,44.68.14.237,21.167.227.228,62078,80,ICMP,1960,718,1027,0.585759852,14,28487,30952,Normal,e7:b2:33:b9:4d:89,0
04-01-2026 01:05,117.132.134.42,43.178.168.221,6694,21,UDP,606,65,420,0.898030455,5,28461,12600,DoS,9d:45:39:db:f9:8c,1
01-01-2026 22:46,201.44.112.251,206.67.149.215,8156,53,UDP,766,570,3466,0.981763116,16,44352,29313,Normal,f8:c5:ba:73:c4:23,0
06-01-2026 02:39,228.218.38.148,8.32.43.189,43543,53,TCP,1818,595,2248,0.594746498,18,24078,28033,Probe,0a:79:80:24:88:83,0
02-01-2026 08:39,137.40.144.75,47.86.223.198,6836,22,UDP,785,634,2237,0.126022121,24,55747,40560,Normal,35:60:31:62:5d:d5,1
03-01-2026 12:07,167.58.209.39,6.251.14.205,46627,443,ICMP,,325,,0.478991397,23,,,Normal,22:a1:59:a6:72:7b,1
02-01-2026 10:42,49.127.225.139,83.195.31.228,25657,53,ICMP,1527,,5050,,0,55989,39344,Probe,ae:cc:ae:7a:55:8c,0
01-01-2026 05:22,206.106.79.21,109.65.33.213,42088,8080,UDP,1878,455,3588,0.825229197,20,1725,48227,Normal,03:8c:2c:bb:04:e7,1
01-01-2026 04:37,197.176.60.58,217.11.196.225,38192,53,UDP,780,363,404,0.891360573,15,26985,53912,Suspicious,35:26:b7:d0:78:99,0
04-01-2026 00:19,141.104.3.159,116.51.220.155,40675,80,TCP,812,623,4978,0.306863755,1,11040,42365,DoS,81:53:14:a9:d9:86,1
02-01-2026 19:51,,168.115.132.79,57748,22,ICMP,1332,304,3456,0.223313166,20,23752,22253,Normal,,1
05-01-2026 23:07,197.178.51.148,84.133.229.179,32963,53,ICMP,1193,468,5800,0.151670397,13,56762,12346,DoS,b9:75:fb:40:c1:03,1
04-01-2026 16:21,5.247.108.198,94.190.179.12,38153,53,TCP,1025,686,3160,0.259361965,24,18824,28915,Normal,4e:51:75:85:87:0b,1
04-01-2026 23:48,189.232.144.254,174.254.82.85,6949,8080,ICMP,1693,306,1969,0.539743395,3,29537,36342,Normal,a5:d9:13:05:25:71,0
01-01-2026 10:29,202.132.150.19,224.123.65.201,16092,22,ICMP,1821,677,4799,0.013623782,12,15894,25077,Normal,a9:d8:52:63:1c:19,0
04-01-2026 05:41,85.201.35.120,38.45.145.234,8883,21,UDP,1620,755,1000,0.628469436,24,27806,61701,Normal,41:0b:d2:b3:04:a6,1
06-01-2026 14:36,35.112.11.41,45.194.241.207,57158,53,UDP,386,22,2323,0.896533982,7,49122,57282,Normal,ec:ad:bb:38:44:90,0
06-01-2026 04:32,54.210.19.41,1.170.169.192,13013,21,TCP,1715,557,2122,0.384848603,12,17487,17376,Normal,ca:c7:fc:52:5f:39,0
01-01-2026 11:47,209.189.138.36,106.28.184.4,20980,21,ICMP,260,199,2480,0.245152723,11,14700,19955,Probe,8c:f7:76:40:d7:cd,0
01-01-2026 21:47,0.251.158.62,123.139.156.186,11294,53,TCP,1462,174,1709,0.302331037,6,11657,15575,Normal,7c:0a:35:5f:9e:2a,0
03-01-2026 07:59,85.32.234.104,247.56.25.105,22876,53,UDP,666,465,1390,0.579938743,18,49377,27601,Normal,7b:50:f5:1f:af:f0,0
04-01-2026 10:36,209.252.13.195,39.173.165.73,64418,53,UDP,332,414,2738,0.360565141,18,724,11623,Normal,15:f8:d7:63:02:8f,0
06-01-2026 17:42,246.124.159.32,210.76.203.183,32607,80,TCP,1151,349,5450,0.024423084,7,22794,45608,Normal,62:8a:f5:b5:ff:73,0
03-01-2026 06:29,224.166.165.207,204.182.116.167,17406,80,UDP,1128,746,461,0.869195118,22,54099,31443,Suspicious,d7:71:29:67:5f:f5,1
06-01-2026 12:57,187.103.20.159,159.48.101.147,53431,8080,TCP,1932,433,5205,0.315098287,0,27995,2404,Suspicious,54:cd:15:00:26:ca,0
04-01-2026 15:34,89.124.0.96,1.223.45.32,39356,53,TCP,1144,238,3538,0.840056632,1,42547,21583,Suspicious,8c:2d:86:49:aa:67,0
01-01-2026 21:47,25.63.242.59,223.124.212.37,19111,443,TCP,712,49,5822,0.047654223,3,42621,9085,Normal,52:58:ca:fd:f6:79,0
01-01-2026 16:26,2.30.17.59,58.12.241.20,18843,80,TCP,1887,99,858,0.969050262,11,11645,42490,Probe,c7:ac:02:45:81:7c,1
05-01-2026 16:56,198.191.86.29,120.146.142.68,44010,22,UDP,309,389,1339,0.04421472,15,59631,29559,Normal,be:8a:4b:55:28:37,0
05-01-2026 16:35,106.199.92.19,147.236.190.63,58326,53,UDP,1421,544,4233,0.838772516,18,49889,14146,Suspicious,c9:cc:b3:0c:d2:20,0
01-01-2026 14:04,,241.209.73.122,6267,443,TCP,1336,701,1839,0.189457967,8,1574,23188,Probe,,0
03-01-2026 16:18,,160.38.155.2,30299,53,ICMP,,628,,0.218624476,22,,,Normal,,1
02-01-2026 00:13,250.208.2.162,247.96.58.57,21551,443,UDP,,13,,0.38779609,5,,,Normal,d0:0b:3b:f2:6a:69,0
05-01-2026 21:35,58.204.138.79,119.25.227.158,28903,22,TCP,451,720,5653,0.108802869,7,15826,41667,Normal,a8:b9:a5:71:a6:2d,0
02-01-2026 03:48,160.69.248.219,181.69.36.90,41285,443,UDP,1294,383,947,0.493604294,0,28421,48297,DoS,39:e1:1c:88:87:ba,1
06-01-2026 18:01,144.5.121.63,216.188.124.111,24985,22,UDP,1795,20,2879,0.776068441,3,390,63321,Normal,6d:df:af:1f:28:4c,0
03-01-2026 02:46,83.75.170.121,22.191.254.66,22506,80,ICMP,1071,65,5785,0.909811704,4,7284,3896,Normal,4b:be:5a:b4:4a:d2,0
03-01-2026 15:05,166.185.135.216,99.242.23.73,64556,443,UDP,1330,508,4019,0.777347314,24,38253,13988,Normal,68:1c:6e:9a:1f:3e,1
03-01-2026 12:18,224.105.38.110,106.163.211.49,42044,443,ICMP,193,449,858,0.467999522,0,11477,18838,Suspicious,f8:3a:e3:13:2b:f0,0
03-01-2026 16:53,48.241.155.109,105.22.94.142,17155,21,UDP,1307,639,3804,0.016489245,8,12881,32405,Probe,d4:57:47:15:69:55,0
02-01-2026 11:45,64.177.218.9,219.173.80.133,37826,22,ICMP,1322,500,3319,0.484240626,17,31734,18801,Normal,41:78:b1:39:dc:95,0
05-01-2026 03:08,27.52.90.57,16.241.230.25,23321,53,ICMP,1432,251,480,0.855997232,0,27513,10183,Normal,84:b8:42:ee:aa:36,0
02-01-2026 16:00,176.113.106.23,97.154.88.56,3038,80,UDP,1426,567,677,0.791017777,16,38058,28445,Suspicious,dc:87:74:da:7b:58,0
01-01-2026 20:54,153.147.48.232,71.188.213.65,18932,8080,TCP,989,776,1946,0.271268369,10,2138,60747,DoS,b1:9e:41:da:44:40,1
04-01-2026 17:53,,133.73.150.243,55048,8080,ICMP,771,92,213,0.185659999,17,27464,31260,Normal,,0
04-01-2026 04:00,30.31.156.101,158.221.48.166,59452,21,TCP,1486,255,3730,0.329432857,19,45185,11967,Normal,f6:fe:b9:ba:a5:a0,1
02-01-2026 01:59,207.212.149.212,215.72.238.20,6046,53,ICMP,611,518,4815,0.744646908,23,52285,22604,Normal,ae:0b:82:a5:da:d7,1
06-01-2026 05:57,,108.207.80.210,31255,53,TCP,849,367,350,0.244570791,14,17035,309,Normal,,0
01-01-2026 17:24,222.84.148.177,70.52.152.202,25210,443,UDP,,658,,0.967574062,19,,,Normal,71:e9:36:25:d0:a5,1
02-01-2026 14:53,33.130.225.97,237.113.219.30,17178,21,UDP,1865,662,2071,0.495782031,17,11069,58137,Normal,ad:c2:02:44:10:dc,0
,226.12.236.82,219.159.68.2,57004,22,ICMP,930,546,1201,0.77039136,3,57816,16113,Normal,48:32:bc:24:5b:62,0
02-01-2026 20:03,238.205.66.37,155.151.107.133,52696,80,TCP,1618,645,4783,0.984804443,7,22943,25857,Suspicious,3d:71:29:14:f3:10,1
02-01-2026 00:01,159.56.209.87,11.7.183.19,61355,443,TCP,674,372,1506,0.237804408,3,57774,37929,Normal,ee:f2:fe:eb:f6:91,0
05-01-2026 00:10,,94.174.133.164,16833,53,UDP,901,786,969,0.438780508,1,16084,53997,DoS,,1
04-01-2026 22:28,74.248.15.207,214.55.127.110,13119,21,TCP,274,115,5267,0.982882114,18,27428,59400,Normal,0e:04:d7:32:72:0f,0
06-01-2026 17:20,80.38.183.117,204.28.54.238,41100,22,TCP,1527,538,4463,0.567818215,22,11257,60459,Normal,6a:32:fa:4d:10:e3,1
05-01-2026 23:34,49.218.130.70,54.75.65.56,61305,21,ICMP,1321,297,3694,0.923104657,18,52649,61872,Probe,9b:99:fa:8f:98:d7,0
02-01-2026 01:23,225.133.200.29,29.248.119.137,12377,53,ICMP,1608,753,2991,0.180789062,22,2522,20093,Normal,89:73:5e:28:d0:84,1
05-01-2026 17:13,240.19.25.15,107.102.40.18,7290,443,UDP,1172,141,4203,0.369846393,4,39860,42755,Normal,9d:2b:33:e5:08:0d,0
02-01-2026 01:38,182.99.224.82,254.113.100.205,23454,8080,TCP,1413,416,3266,0.150159968,19,50211,4906,Normal,76:dd:19:69:a3:17,1
03-01-2026 21:55,184.41.90.26,166.204.207.9,52411,8080,ICMP,,543,,0.312799224,10,,,Normal,39:17:89:53:b6:6d,0
05-01-2026 16:33,202.8.220.160,123.174.127.19,6175,443,ICMP,1946,505,2548,0.509893138,7,42213,23406,DoS,98:8f:48:66:56:44,1
03-01-2026 02:37,71.87.196.214,3.248.240.239,34024,22,TCP,1507,302,1623,0.428127103,1,53639,63870,Normal,a6:b9:4a:14:84:e1,0
02-01-2026 23:46,14.35.212.111,252.163.122.196,39226,443,TCP,383,739,3887,0.982471931,22,33022,54620,Normal,fe:5e:c4:32:44:1c,1
03-01-2026 15:18,165.111.62.67,109.74.51.224,60320,22,UDP,1575,311,225,0.658849043,3,35165,17368,Normal,21:99:ef:6c:8a:df,0
02-01-2026 08:34,14.165.57.206,18.56.187.178,10904,80,UDP,841,178,2794,0.842128073,17,2671,36298,Probe,34:df:28:2c:88:99,0
01-01-2026 00:43,108.34.179.50,151.217.116.222,5541,443,ICMP,1506,686,5740,0.283065862,9,55163,49527,Normal,82:9d:f4:d5:fb:89,0
04-01-2026 07:20,178.213.14.120,187.235.225.21,17865,8080,ICMP,1682,490,3790,0.457972835,2,51880,51545,Normal,d7:5e:f7:46:d4:77,0
05-01-2026 07:46,180.158.81.230,58.123.123.43,15853,22,TCP,514,10,2016,0.796489639,1,12684,36759,Suspicious,c1:f8:9b:d3:6b:dc,0
01-01-2026 06:21,10.61.23.129,205.144.99.232,12923,80,TCP,977,460,1128,0.204338852,19,28862,39102,Normal,bb:ec:fd:09:f8:cd,1
03-01-2026 00:18,28.58.10.247,187.179.46.33,44505,8080,TCP,1045,88,1270,0.423587394,11,12158,47317,Normal,76:ae:72:61:dc:84,0
06-01-2026 10:37,11.129.253.210,23.173.75.39,29632,21,UDP,1475,30,2691,0.991199192,13,56949,61029,Suspicious,93:9e:55:ff:6b:df,1
02-01-2026 22:31,249.162.119.139,53.54.62.244,40304,22,TCP,398,428,140,0.10967908,5,44775,60066,Normal,b1:a7:3f:35:6c:fc,0
02-01-2026 11:20,46.74.164.134,254.10.188.191,11878,443,UDP,546,169,4941,0.858017375,20,54992,58040,Normal,4d:de:0d:fb:7b:6b,1
01-01-2026 11:38,63.247.60.3,124.129.194.11,34393,8080,TCP,1303,424,2017,0.372432527,17,52344,29183,Normal,b0:56:51:64:47:0b,0
02-01-2026 14:07,50.243.59.249,15.119.251.212,14419,53,ICMP,62,407,1279,0.023426972,14,32559,40141,Normal,54:e9:3e:bc:6c:95,0
03-01-2026 17:15,162.149.144.103,87.48.8.61,16149,21,TCP,1702,59,2999,0.132541113,19,59939,56397,Normal,f1:ef:83:93:9f:32,1
03-01-2026 10:57,146.61.182.122,90.145.239.0,38508,8080,UDP,1677,205,1609,0.857013582,20,10208,21423,Normal,7c:83:e1:c7:1d:20,1
04-01-2026 12:53,188.149.126.215,193.95.57.159,40206,53,ICMP,333,631,4381,0.821989302,19,40998,6774,Suspicious,d0:49:cc:b1:0f:af,1
01-01-2026 23:02,83.71.144.195,217.87.21.46,30821,22,UDP,,141,,0.95348699,7,,,Normal,5c:32:ac:a5:19:4c,1
03-01-2026 08:53,166.155.224.215,116.97.6.181,14065,22,UDP,1055,504,3763,0.519657623,15,7355,8071,Normal,d6:84:6a:94:40:76,0
06-01-2026 14:04,98.89.245.241,77.200.208.173,41193,80,TCP,1867,504,5237,0.467562994,7,49056,20366,Suspicious,a4:28:2a:68:fe:12,0
06-01-2026 06:38,144.82.147.241,96.86.203.123,56888,8080,UDP,1771,158,4847,0.736290227,16,2818,20011,Normal,cd:af:95:f3:62:e8,0
04-01-2026 00:12,244.114.96.50,162.159.133.66,41036,8080,TCP,1236,196,5562,0.483497724,21,42174,4829,Normal,c6:e0:d0:d8:60:63,1
05-01-2026 02:03,216.232.136.214,13.176.59.92,2882,80,TCP,1306,282,1682,0.590396899,18,10859,37607,Normal,7c:4d:77:d7:60:cb,0
06-01-2026 10:07,117.203.200.88,56.130.85.56,37606,80,ICMP,310,409,5375,0.010266038,10,23783,35015,Normal,d6:6b:f1:5c:ab:2a,0
02-01-2026 11:09,232.154.80.118,210.122.159.37,17261,8080,TCP,828,96,5533,0.616521577,2,15919,2452,Normal,b9:ab:2f:03:42:ff,0
05-01-2026 11:14,156.154.94.129,111.109.203.76,6183,8080,UDP,675,104,292,0.365467651,18,42480,24343,Normal,23:15:30:1a:55:2f,0
04-01-2026 04:30,91.130.216.60,176.90.209.220,23579,22,ICMP,,542,,0.341223586,6,,,Normal,eb:ab:b8:c9:c6:19,0
06-01-2026 12:36,179.141.77.25,210.23.200.8,45224,53,UDP,731,263,3150,0.758660561,16,27490,28796,Normal,e8:7c:0a:63:15:38,0
02-01-2026 15:34,189.168.134.103,79.17.211.230,15994,8080,ICMP,588,282,2010,0.093563841,18,10544,60989,Normal,6a:a8:d4:d3:56:f7,0
04-01-2026 03:44,,118.4.81.238,16054,21,ICMP,322,47,5429,0.678261999,11,15886,48182,Normal,,0
03-01-2026 22:16,121.166.253.107,79.93.97.169,34443,8080,UDP,528,212,4478,0.310113951,12,45451,26108,Normal,48:46:cc:7c:f5:9a,0
04-01-2026 15:41,247.249.229.233,47.157.195.26,31454,80,UDP,1592,709,5446,0.949822286,2,44415,17692,Suspicious,1c:c0:9c:a7:85:6f,1
04-01-2026 00:48,222.2.164.74,181.14.8.192,14068,22,UDP,516,,468,,24,39307,18616,Normal,a8:2a:43:ee:a3:d6,1
01-01-2026 09:08,56.153.210.224,166.166.78.30,42146,53,ICMP,1742,724,1947,0.852857183,7,55567,19512,Normal,96:d7:93:bb:c0:cc,1
02-01-2026 00:13,58.144.214.126,142.220.210.19,6588,21,TCP,1916,119,5405,0.564691473,22,15950,65385,Suspicious,19:9f:ed:c9:65:39,1
03-01-2026 23:16,40.95.238.166,136.117.13.105,8957,8080,UDP,,698,,0.070951713,22,,,Normal,4b:2e:41:2f:ec:2f,1
05-01-2026 02:12,4.151.58.167,208.186.103.35,49160,22,ICMP,,176,,0.762678739,17,,,Normal,03:54:f4:8b:89:59,0
03-01-2026 19:12,128.166.116.206,82.241.222.161,2202,22,TCP,168,259,2933,0.18332268,9,15415,41842,Probe,4a:bb:2b:c5:e3:49,0
06-01-2026 10:46,,168.156.114.110,58444,8080,ICMP,1791,602,4059,0.973611168,12,6229,57704,DoS,,1
03-01-2026 10:25,26.81.133.1,94.0.169.54,61122,80,UDP,1330,271,3110,0.562431462,19,57731,67487,Probe,d2:09:2c:a6:db:44,1
01-01-2026 19:46,140.227.86.115,77.18.175.31,28115,21,ICMP,1827,700,4448,0.036795959,11,27198,48071,Normal,7b:8c:54:43:11:12,0
